,v1,v2,v3,v4,especie
0,6.6,2.3,4.1,1.5,sirena_endemica
1,4.5,2.9,2.4,1.6,sirena_migrante
2,5.7,2.3,6.3,0.4,sirena_endemica
3,5.1,3.3,1.7,2.1,sirena_migrante
4,7.0,4.0,1.0,1.6,sirena_migrante
5,7.6,2.3,2.1,1.2,sirena_migrante
6,4.7,3.3,5.6,1.8,sirena_endemica
7,4.9,3.8,2.0,2.4,sirena_migrante
8,7.4,3.0,4.3,0.8,sirena_endemica
9,6.0,3.0,2.5,2.1,sirena_migrante
10,6.2,4.1,6.3,2.0,sirena_endemica
11,7.7,2.3,2.5,0.9,sirena_migrante
12,6.4,4.0,6.8,0.8,sirena_endemica
13,5.7,4.4,5.5,0.9,sirena_endemica
14,4.3,4.0,4.3,0.7,sirena_endemica
15,7.7,3.6,6.2,2.1,sirena_endemica
16,6.3,3.7,1.5,2.2,sirena_migrante
17,5.6,3.9,4.5,2.3,sirena_endemica
18,6.3,4.0,6.7,0.3,sirena_endemica
19,5.6,3.1,2.2,1.4,sirena_migrante
20,6.3,2.3,3.7,2.4,sirena_endemica
21,7.8,4.2,5.6,1.3,sirena_endemica
22,7.2,3.8,3.5,0.7,sirena_migrante
23,6.0,3.9,4.3,1.4,sirena_endemica
24,5.5,3.0,4.8,2.5,sirena_endemica
25,4.4,3.2,1.6,0.5,sirena_migrante
26,5.3,3.4,4.4,1.0,sirena_endemica
27,4.8,3.6,6.5,1.4,sirena_endemica
28,7.6,4.3,4.2,1.4,sirena_endemica
29,5.3,3.3,1.2,1.5,sirena_migrante
30,5.7,3.4,2.9,2.4,sirena_migrante
31,5.2,3.5,2.5,0.5,sirena_migrante
32,5.7,3.4,4.6,1.1,sirena_endemica
33,7.5,4.2,6.8,0.2,sirena_endemica
34,5.1,3.2,4.4,0.7,sirena_endemica
35,5.9,3.5,3.0,1.6,sirena_migrante
36,7.3,3.8,5.6,0.3,sirena_endemica
37,6.7,3.0,1.2,2.0,sirena_migrante
38,7.2,2.6,1.1,0.2,sirena_migrante
